"ID","sentiment","word"
1,-1,"Ya ampuun, lihat tagar percumalaporpolisi jd sedih, kmrn br kasus atm, skrg ini.."
2,-2,"Di Pukul Berkali-Kali DI Tendang Di Maki-Maki Bukannya Itu Termasuk Penganiayaan Yah Pak ListyoSigitP Ko Gak Di Penjara Bener-Bener percumalaporpolisi"
3,1,"Hanya beda lokasi. Yang menangani tetap satu Institusi. Benarkan Jendral ListyoSigitP ? percumalaporpolisi ."
4,-1,"Ya ampuun, lihat tagar percumalaporpolisi jd sedih, kmrn br kasus atm, skrg ini.."
5,-1,"Ya ampuun, lihat tagar percumalaporpolisi jd sedih, kmrn br kasus atm, skrg ini.."
9,1,"Bisa baca ceritanya di sini ya. Agak sedih sebenarnya cerita kaya gini terus berulang. Entah itu polisi kok gak bisa ngurusin kaya ginian hadeehh PercumaLaporPolisi"
10,-1,"wishwashy00 mafavtaste Hahaha pak ListyoSigitP DivHumas_Polri masa gini sih pak Pantesan pada protes masyarakat pak. Pantesan ada tagar percumalaporpolisi"
12,1,"Bisa baca ceritanya di sini ya. Agak sedih sebenarnya cerita kaya gini terus berulang. Entah itu polisi kok gak bisa ngurusin kaya ginian hadeehh PercumaLaporPolisi"
16,-1,"Ya ampuun, lihat tagar percumalaporpolisi jd sedih, kmrn br kasus atm, skrg ini.."
17,1,"Bisa baca ceritanya di sini ya. Agak sedih sebenarnya cerita kaya gini terus berulang. Entah itu polisi kok gak bisa ngurusin kaya ginian hadeehh PercumaLaporPolisi"
18,-1,"Moral Hukum Sudah Rusak!! percumalaporpolisi"
19,0,"Nasib rakyat ... Ade Emon bukan kriminal.. Bebaskan Ade Emon.. Semoga kisah pedih penyuara keadilan tidak membuat rakyat ambil kesimpulan percumalaporpolisi percumalaporpolisi"
20,1,"Bisa baca ceritanya di sini ya. Agak sedih sebenarnya cerita kaya gini terus berulang. Entah itu polisi kok gak bisa ngurusin kaya ginian hadeehh PercumaLaporPolisi"
21,-1,"Ya ampuun, lihat tagar percumalaporpolisi jd sedih, kmrn br kasus atm, skrg ini.."
22,-1,"Ya ampuun, lihat tagar percumalaporpolisi jd sedih, kmrn br kasus atm, skrg ini.."
25,1,"Bisa baca ceritanya di sini ya. Agak sedih sebenarnya cerita kaya gini terus berulang. Entah itu polisi kok gak bisa ngurusin kaya ginian hadeehh PercumaLaporPolisi"
26,-1,"AcehSelatanSatu titteril ListyoSigitP Kemon Pak buktikan bahwa tagar percumalaporpolisi adalah keliru. Bapak Polisi jgn sampe apa yg dibilang GusDur itu bener kl si DS gk diproses hukum. Sakitu Wassalam ===mang yana==="
27,1,"Bisa baca ceritanya di sini ya. Agak sedih sebenarnya cerita kaya gini terus berulang. Entah itu polisi kok gak bisa ngurusin kaya ginian hadeehh PercumaLaporPolisi"
29,1,"Bisa baca ceritanya di sini ya. Agak sedih sebenarnya cerita kaya gini terus berulang. Entah itu polisi kok gak bisa ngurusin kaya ginian hadeehh PercumaLaporPolisi"
31,-1,"Ya ampuun, lihat tagar percumalaporpolisi jd sedih, kmrn br kasus atm, skrg ini.."
32,2,"Cukup dengan RETWEET ini, berarti anda CINTA NKRI! . . TangkapBaharSmith PercumaLaporPolisi *cc ListyoSigitP"
34,0,"kumparan percumalaporpolisi tapi kalo main hakim sendiri kena pasal, degalan paling lucu di yang katanya negeri hukum"
37,1,"Bisa baca ceritanya di sini ya. Agak sedih sebenarnya cerita kaya gini terus berulang. Entah itu polisi kok gak bisa ngurusin kaya ginian hadeehh PercumaLaporPolisi"
38,1,"Bisa baca ceritanya di sini ya. Agak sedih sebenarnya cerita kaya gini terus berulang. Entah itu polisi kok gak bisa ngurusin kaya ginian hadeehh PercumaLaporPolisi"
41,-3,"dindamauizzahhh percumalaporpolisi lama proses nya keburu kabur pelakunya"
42,-1,"geloraco Badan nya gemuk2 jadi males gerak, maunya duduk dibalik meja ngemil uang haram. percumalaporpolisi percumaadapolisi"
43,1,"detikcom percumalaporpolisi klo kaya gini mah..... percumalaporpolisi percumalaporpolisi percumalaporpolisi"
44,0,"CNNIndonesia Polisi mah g ada apa2nya donk klo gitu...mending nagkep sendiriny lebih puas buat bogem mentahnya,jdi jngan lapor polisi y ListyoSigitP percumalaporpolisi"
45,-3,"kompascom Pak DivHumas_Polri ListyoSigitP bagaimana tanggapannya pak dengan berita ini,apa benar polisinya nyuruh keluarga korban yg nangkep sendiri....ntr klo pelakunya di bakar hidup2,pasty keluarga korban yg jdi tersangka.....keadilannya dmnanya nih pak percumalaporpolisi"
46,-2,"LH_265 Membela diri dan menjadi tersangka.....percumalaporpolisi bagaimana pak DivHumas_Polri pak ListyoSigitP"
47,-1,"Pepesan kosong. Kami tidak percaya kalian percumalaporpolisi"
48,-1,"Ya ampuun, lihat tagar percumalaporpolisi jd sedih, kmrn br kasus atm, skrg ini.."
49,1,"Islam JokowiCukup7TahunSaja JokowiErickMandiriKesehatan SaveIndahHarini percumalaporpolisi UngkapKebenaranKasusIndah MadamBaliho TenggelamkanPartaiNolKoma indah harini MakzulkanRezimIslamophobia Jokowi PSSI React ..."
50,1,"Untuk para pelaku pelecehan perempuan di Indonesia, lebih baik mereka di asingkan saja ke India, mungkin disana lebih terjamin keamanannya Tags pelecehanseksual YogyaTidakAman Duckbill JokowiCukup7TahunSaja UsutDugaanKorupsiAhok marriage , Kedokteran percumalaporpolisi"
52,-1,"Ya ampuun, lihat tagar percumalaporpolisi jd sedih, kmrn br kasus atm, skrg ini.."
53,-1,"Ya ampuun, lihat tagar percumalaporpolisi jd sedih, kmrn br kasus atm, skrg ini.."
54,1,"Bisa baca ceritanya di sini ya. Agak sedih sebenarnya cerita kaya gini terus berulang. Entah itu polisi kok gak bisa ngurusin kaya ginian hadeehh PercumaLaporPolisi"
55,-1,"Ya ampuun, lihat tagar percumalaporpolisi jd sedih, kmrn br kasus atm, skrg ini.."
57,-1,"Ya ampuun, lihat tagar percumalaporpolisi jd sedih, kmrn br kasus atm, skrg ini.."
60,-1,"Ya ampuun, lihat tagar percumalaporpolisi jd sedih, kmrn br kasus atm, skrg ini.."
61,1,"Bisa baca ceritanya di sini ya. Agak sedih sebenarnya cerita kaya gini terus berulang. Entah itu polisi kok gak bisa ngurusin kaya ginian hadeehh PercumaLaporPolisi"
62,-2,"AlissaWahid Leres Buk.. kasus diatas perlu direvisi. Cuma yang menjadi pertanyaan kenapa didalam institusi jajaran kepolisian tidak ada perubahan? Ketika masyarakat meluapkan amarah dengan mengekspresikan hestek percumalaporpolisi dan satuharisatuoknum tak kunjung ada perbaikan."
63,1,"Berlindung sama yg maha kuasa aja gak usah ngarep2 sama aparat dijaman sekarang mah. percumalaporpolisi"
65,1,"Bisa baca ceritanya di sini ya. Agak sedih sebenarnya cerita kaya gini terus berulang. Entah itu polisi kok gak bisa ngurusin kaya ginian hadeehh PercumaLaporPolisi"
66,-1,"Moral Hukum Sudah Rusak!! percumalaporpolisi"
67,-1,"Pepesan kosong. Kami tidak percaya kalian percumalaporpolisi"
71,1,"RonaldLampard8 Kalau polisi tdk mampu menangkap si monyet bahar biar netizen saja yg cari. ListyoSigitP . percumalaporpolisi NoViralNoJustice"
72,-1,"Ya ampuun, lihat tagar percumalaporpolisi jd sedih, kmrn br kasus atm, skrg ini.."
73,-1,"BNGPY Kalau begini apa fungsi lapor polisi ? Atau krn yg lapor warga biasa yg terlihat gak berduit ? Cc. ListyoSigitP jokowi DivHumas_Polri percumalaporpolisi percumaadapolisi"
77,-1,"BNGPY Ok, kl begitu mulai skrg warga bebas nangkep pelaku kejahatan ya. Ntar kl udh dapet br serahin ke polisi idup / mati. Inget ya DivHumas_Polri gak boleh nyebut ini maen hakim sendiri. percumalaporpolisi percumaadapolisi"
78,1,"HASapardan DivHumas_Polri jokowi Kalau memang kepolisian tdk menangkap manusia ini, berarti kepolisian mendukung dia menghina jokowi . Cc. ListyoSigitP setkabgoid DivHumas_Polri Puspen_TNI PercumaLaporPolisi NoViralNoJustice"
82,2,"Belok_dong Kita lihat bagaimana ketegasan dari ListyoSigitP . Apakah memang benar tagar PercumaLaporPolisi ? Cc. DivHumas_Polri . TangkapBaharSmith"
83,-2,"DivHumas_Polri FerdinandHaean3 Mengayomi ? .. Slogannya buang aja min, malu maluin , jauh dr kenyataan. percumalaporpolisi NoViralNoJustice percumaadapolisi polisiindonesia"
84,1,"iskandardagoel Polisi jaman now . Hebat Cc. ListyoSigitP DuitBerbicara PercumaLaporPolisi"
86,0,"DewiLie01 Sepertinya anak buah pak ListyoSigitP melakukan pembiaran dan malah melindungi orang2 yg mengganggu ibadah natal. NoViralNoJustice percumalaporpolisi percumatempuhjalurhukum DivHumas_Polri CCICPolri jokowi setkabgoid Kemenag_RI"
91,1,"Pencerah__ jokowi YaqutCQoumas ListyoSigitP humaspoldalpg KompasTV polrestubalpg Seperti yg saya bilang , paling ujung2nya minta maaf dan selesai dgn materai ceban.. besok2 begitu lg dgn aktor yg berbeda. NoViralNoJustice percumaadapolisi percumalaporpolisi"
92,1,"FerdinandHaean3 DivHumas_Polri ListyoSigitP Kl sy amati, di medan ini kl berurusan sm polisi, terlihat yg punya jabatan / bnyak uang yg bakal aman. Kecuali kl kasusnya sampe menyita perhatian ListyoSigitP DivHumas_Polripercumalaporpolisi percumalaporpolisi percumalaporpolisi percumalaporpolisi percumalaporpolisi"
93,-2,"ShandyRahardian BNGPY Terlalu bertele tele. Coba yg lapor org berduit. Langsung gercep tanpa lapor juga. percumalaporpolisi percumaadapolisi"
95,1,"Bisa baca ceritanya di sini ya. Agak sedih sebenarnya cerita kaya gini terus berulang. Entah itu polisi kok gak bisa ngurusin kaya ginian hadeehh PercumaLaporPolisi"
97,1,"Bisa baca ceritanya di sini ya. Agak sedih sebenarnya cerita kaya gini terus berulang. Entah itu polisi kok gak bisa ngurusin kaya ginian hadeehh PercumaLaporPolisi"
98,-1,"AgastyArcanA furoiza LH_265 Nanti setelah lapor, Disuruh tangkep sendiri pelakunya. percumalaporpolisi"
100,-1,"Ya ampuun, lihat tagar percumalaporpolisi jd sedih, kmrn br kasus atm, skrg ini.."
101,0,"TirtoID percumaLaporPolisi karena faktanya begitu sering bikin sakit rasa keadilan"
102,-2,"Di Pukul Berkali-Kali DI Tendang Di Maki-Maki Bukannya Itu Termasuk Penganiayaan Yah Pak ListyoSigitP Ko Gak Di Penjara Bener-Bener percumalaporpolisi"
103,-1,"Ya ampuun, lihat tagar percumalaporpolisi jd sedih, kmrn br kasus atm, skrg ini.."
104,1,"Hanya beda lokasi. Yang menangani tetap satu Institusi. Benarkan Jendral ListyoSigitP ? percumalaporpolisi ."
105,-2,"Duh yang berpotensi menyebarkan virus varian baru aja ga ditahan karena sopan. Tapi ini bapak dokter yang ga membahayakan warga lain dapat penjara 8 tahun percumalaporpolisi"
106,-1,"Ya ampuun, lihat tagar percumalaporpolisi jd sedih, kmrn br kasus atm, skrg ini.."
107,-1,"Ya ampuun, lihat tagar percumalaporpolisi jd sedih, kmrn br kasus atm, skrg ini.."
108,-1,"Moral Hukum Sudah Rusak!! percumalaporpolisi"
